12	19	20	37	42	46	10
9	12	31	33	37	44	24
5	14	15	17	41	49	28
2	27	35	38	41	44	17
10	17	32	39	42	48	18
3	16	27	32	42	43	17
11	19	22	31	32	33	7
4	35	37	40	48	49	2
6	16	19	22	23	45	32
7	18	30	35	42	45	9
4	8	12	21	22	26	43
4	20	21	25	28	45	5
3	10	16	34	43	48	1
3	12	34	42	43	47	35
24	25	37	40	44	48	2
10	11	35	40	42	48	4
7	17	33	34	38	43	23
23	32	35	43	45	49	5
8	16	17	30	32	46	20
9	14	18	21	33	37	6
3	10	14	25	27	35	18
12	16	18	32	34	46	27
8	9	10	29	30	38	25
1	7	32	35	36	39	21
31	34	35	41	43	47	11
19	26	27	28	32	42	31
17	21	22	28	29	33	48
25	27	31	33	40	42	19
1	13	34	43	44	48	16
10	12	21	29	31	45	26
11	12	21	26	27	31	47
12	14	32	33	37	43	34
9	15	20	23	30	47	3
9	20	32	41	42	43	14
9	28	30	36	39	44	2
25	27	30	32	35	48	46
4	6	26	36	47	47	31
3	7	12	14	34	35	45
13	28	30	31	35	43	29
8	16	35	38	47	49	43
10	13	18	40	42	49	37
18	19	24	31	40	46	6
4	19	24	26	44	48	49
2	5	13	20	24	32	9
7	12	18	33	39	49	14
5	7	17	40	41	46	26
4	16	19	21	23	27	24
2	7	8	10	12	37	17
1	11	21	30	31	48	9
10	11	14	17	41	46	43
1	5	23	30	35	44	11
13	14	29	31	47	48	30
1	10	12	14	32	44	41
8	12	16	19	29	43	9
11	16	22	29	45	48	20
6	9	27	29	44	46	1
13	14	16	24	43	46	45
1	4	19	26	27	31	40
17	24	38	39	42	43	10
2	6	12	22	26	40	10
2	9	35	42	46	48	31
7	8	28	30	46	47	33
4	10	13	26	32	43	22
3	12	20	23	45	48	37
13	29	32	33	45	47	2
1	10	15	35	44	46	3
1	28	30	33	35	37	31
4	8	9	17	38	48	3
11	21	23	28	38	46	5
5	8	13	29	43	46	47
3	15	22	34	35	47	38
4	7	13	16	23	26	5
1	4	16	26	38	42	36
10	24	25	30	40	42	35
7	8	18	29	37	46	42
1	3	19	33	36	43	35
4	14	15	16	41	47	21
7	12	23	35	42	47	17
3	10	13	37	39	46	18
2	7	31	37	38	42	11
7	9	18	28	44	47	43
11	17	26	30	36	39	7
23	30	32	36	43	48	35
21	23	29	31	34	48	1
